id_transakcji,Data,Rodzaj transakcji,koszt,id_wizyty jeśli wizyta
115,2019-10-21,zabieg chirurgiczny drobny,100,120
116,2019-10-21,zabieg chrurgii zewnętrznej,300,121
117,2019-10-21,operacja w znieczuleniu częściowym,400,122
118,2019-10-21,zabieg chirurgii wewnętrznej,300,123
119,2019-10-22,eutanazja,200,124
120,2019-10-22,badanie krwi,60,125
121,2019-10-22,eutanazja,200,126
122,2019-10-22,EKG,80,127
123,2019-10-22,zabieg ortopedyczny,200,128
124,2019-10-22,zabieg ortopedyczny,200,129
125,2019-10-22,wydanie paszportu,100,130
126,2019-10-22,kontrolna,40,131
127,2019-10-22,zabieg chirurgiczny drobny,100,132
128,2019-10-22,konsultacja chirurgiczna,40,133
129,2019-10-22,zabieg chirurgii wewnętrznej,300,134
130,2019-10-22,konsultacja chirurgiczna,40,135
131,2019-10-22,konsultacja chirurgiczna,40,136
132,2019-10-22,konsultacja chirurgiczna,40,137
133,2019-10-23,kontrolna,40,139
134,2019-10-23,badanie krwi,60,141
135,2019-10-23,badanie krwi,60,142
136,2019-10-23,zabieg ortopedyczny,200,144
137,2019-10-23,szczepienie,30,145
138,2019-10-23,operacja pod narkozą,450,146
139,2019-10-23,zabieg chirurgiczny drobny,100,148
140,2019-10-24,wydanie paszportu,100,149
141,2019-10-24,Kompleksowy zestaw badań,250,150
142,2019-10-24,USG,100,151
143,2019-10-24,EKG,80,152
144,2019-10-24,zabieg higieniczy duży,80,153
145,2019-10-24,zabieg higieniczny drobny,50,154
146,2019-10-24,EKG,80,155
147,2019-10-24,badanie krwi,60,156
148,2019-10-24,badanie krwi,60,157
149,2019-10-24,zabieg higieniczy duży,80,158
150,2019-10-24,Kompleksowy zestaw badań,250,159
151,2019-10-24,USG,100,160
152,2019-10-24,zabieg higieniczny drobny,50,161
153,2019-10-24,antykoncepcja,150,162
154,2019-10-24,zabieg chirurgiczny drobny,100,164
155,2019-10-24,operacja pod narkozą,450,165
156,2019-10-24,zabieg chirurgii wewnętrznej,300,166
157,2019-10-25,eutanazja,200,167
158,2019-10-25,EKG,80,168
159,2019-10-25,zabieg ortopedyczny,200,169
160,2019-10-25,USG,100,170
161,2019-10-26,testy alergiczne,150,171
162,2019-10-27,RTG,80,172
163,2019-10-28,kroplówka witaminowa,50,174
164,2019-10-28,Kompleksowy zestaw badań,250,175
165,2019-10-28,USG,100,176
166,2019-10-28,zabieg chirurgiczny drobny,100,177
167,2019-10-28,zabieg chrurgii zewnętrznej,300,178
168,2019-10-28,konsultacja chirurgiczna,40,179
169,2019-10-29,zabieg higieniczy duży,80,180
170,2019-10-29,kroplówka witaminowa,50,181
171,2019-10-29,EKG,80,182
172,2019-10-29,antykoncepcja,150,183
173,2019-10-29,szczepienie,30,184
174,2019-10-29,eutanazja,200,185
175,2019-10-29,zabieg higieniczny drobny,50,186
176,2019-10-29,konsultacja chirurgiczna,40,188
177,2019-10-29,konsultacja chirurgiczna,40,189
178,2019-10-29,konsultacja chirurgiczna,40,190
179,2019-10-29,zabieg chirurgii wewnętrznej,300,191
180,2019-10-30,zabieg ortopedyczny,200,192
181,2019-10-30,zabieg higieniczny drobny,50,193
182,2019-10-30,zabieg higieniczy duży,80,194
183,2019-10-30,chipowanie,60,195
184,2019-10-30,konsultacja chirurgiczna,40,197
185,2019-10-30,konsultacja chirurgiczna,40,198
186,2019-10-30,zabieg okulistyczny,200,199
187,2019-10-30,konsultacja chirurgiczna,40,200
188,2019-10-30,zabieg chirurgiczny drobny,100,201
189,2019-10-30,zabieg okulistyczny,200,202
190,2019-10-30,zabieg chirurgiczny drobny,100,203
191,2019-10-31,szczepienie,30,205
192,2019-10-31,chipowanie,60,206
193,2019-10-31,wydanie paszportu,100,207
194,2019-10-31,kroplówka witaminowa,50,208
195,2019-10-31,chipowanie,60,209
196,2019-10-31,chipowanie,60,210
197,2019-10-31,szczepienie,30,212
198,2019-10-31,konsultacja chirurgiczna,40,213
199,2019-10-31,zabieg chirurgiczny drobny,100,214
200,2019-10-31,konsultacja chirurgiczna,40,215
201,2019-10-31,konsultacja chirurgiczna,40,216
202,2019-10-31,zabieg chirurgiczny drobny,100,217
203,2019-11-01,zabieg ortopedyczny,200,218
204,2019-11-01,zabieg higieniczny drobny,50,219
205,2019-11-01,czynsz,-4500,
206,2019-11-01,firma sprzątająca,-2800,
207,2019-11-01,opłaty,-900,
208,2019-11-01,biuro rachunkowe,-500,
209,2019-11-01,opłaty bankowe,-140,
210,2019-11-01,pensje dla pracowników,-20460,
211,2019-11-02,szczepienie,30,221
212,2019-11-03,badanie krwi,60,222
213,2019-11-04,antykoncepcja,150,223
214,2019-11-04,wydanie paszportu,100,224
215,2019-11-04,antykoncepcja,150,225
216,2019-11-04,operacja pod narkozą,450,226
217,2019-11-04,zabieg chirurgiczny drobny,100,227
218,2019-11-04,konsultacja chirurgiczna,40,228
219,2019-11-04,zabieg chirurgii wewnętrznej,300,229
220,2019-11-04,zabieg chirurgiczny drobny,100,230
221,2019-11-05,wydanie paszportu,100,231
222,2019-11-05,antykoncepcja,150,232
223,2019-11-05,wydanie paszportu,100,233
224,2019-11-05,testy alergiczne,150,234
225,2019-11-05,testy alergiczne,150,235
226,2019-11-05,EKG,80,236
227,2019-11-05,EKG,80,237
228,2019-11-05,zabieg chirurgiczny drobny,100,238
229,2019-11-05,zabieg chirurgiczny drobny,100,239
230,2019-11-05,zabieg chirurgiczny drobny,100,240
231,2019-11-05,zabieg chirurgiczny drobny,100,241
232,2019-11-06,zabieg ortopedyczny,200,242
233,2019-11-06,Kompleksowy zestaw badań,250,243
234,2019-11-06,badanie krwi,60,244
235,2019-11-06,testy alergiczne,150,245
236,2019-11-06,zabieg higieniczny drobny,50,246
237,2019-11-06,antykoncepcja,150,247
238,2019-11-06,EKG,80,248
239,2019-11-06,konsultacja chirurgiczna,40,249
240,2019-11-06,konsultacja chirurgiczna,40,250
241,2019-11-06,zabieg chirurgiczny drobny,100,251
242,2019-11-06,zabieg chirurgiczny drobny,100,252
243,2019-11-07,szczepienie,30,253
244,2019-11-07,USG,100,254
245,2019-11-07,USG,100,255
246,2019-11-07,zabieg higieniczny drobny,50,256
247,2019-11-07,EKG,80,257
248,2019-11-07,zabieg higieniczny drobny,50,258
249,2019-11-07,Kompleksowy zestaw badań,250,259
250,2019-11-07,kroplówka witaminowa,50,260
251,2019-11-07,EKG,80,261
252,2019-11-07,szczepienie,30,262
253,2019-11-07,USG,100,263
254,2019-11-07,badanie krwi,60,264
255,2019-11-07,EKG,80,265
256,2019-11-07,szczepienie,30,266
257,2019-11-07,konsultacja chirurgiczna,40,267
258,2019-11-07,konsultacja chirurgiczna,40,268
259,2019-11-07,konsultacja chirurgiczna,40,270
260,2019-11-07,konsultacja chirurgiczna,40,271
261,2019-11-07,zabieg chirurgiczny drobny,100,272
262,2019-11-07,konsultacja chirurgiczna,40,273
263,2019-11-08,testy alergiczne,150,274
264,2019-11-08,testy alergiczne,150,275
265,2019-11-08,wydanie paszportu,100,276
266,2019-11-08,badanie krwi,60,277
267,2019-11-08,kontrolna,40,278
268,2019-11-08,USG,100,279
269,2019-11-08,kontrolna,40,280
270,2019-11-10,kontrolna,40,281
271,2019-11-10,zabieg ortopedyczny,200,282
272,2019-11-11,wydanie paszportu,100,283
273,2019-11-11,EKG,80,284
274,2019-11-11,kroplówka witaminowa,50,285
275,2019-11-11,chipowanie,60,286
276,2019-11-11,badanie krwi,60,287
277,2019-11-11,zabieg chirurgiczny drobny,100,288
278,2019-11-11,konsultacja chirurgiczna,40,289
279,2019-11-12,badanie krwi,60,290
280,2019-11-12,szczepienie,30,291
281,2019-11-12,badanie krwi,60,292
282,2019-11-12,szczepienie,30,293
283,2019-11-12,kroplówka witaminowa,50,294
284,2019-11-12,USG,100,295
285,2019-11-12,antykoncepcja,150,296
286,2019-11-12,chipowanie,60,297
287,2019-11-12,konsultacja chirurgiczna,40,298
288,2019-11-12,konsultacja chirurgiczna,40,299
289,2019-11-12,zabieg chirurgiczny drobny,100,300
290,2019-11-12,zabieg chirurgiczny drobny,100,301
291,2019-11-12,konsultacja chirurgiczna,40,302
292,2019-11-12,zabieg chirurgiczny drobny,100,303
293,2019-11-12,konsultacja chirurgiczna,40,304
294,2019-11-13,USG,100,305
295,2019-11-13,testy alergiczne,150,306
296,2019-11-13,zabieg higieniczy duży,80,307
297,2019-11-13,szczepienie,30,308
298,2019-11-13,operacja pod narkozą,450,309
299,2019-11-14,RTG,80,310
300,2019-11-14,kontrolna,40,311
301,2019-11-14,szczepienie,30,312
302,2019-11-14,szczepienie,30,313
303,2019-11-14,zabieg higieniczy duży,80,314
304,2019-11-14,szczepienie,30,315
305,2019-11-14,testy alergiczne,150,316
306,2019-11-14,USG,100,317
307,2019-11-14,zabieg ortopedyczny,200,318
308,2019-11-14,USG,100,319
309,2019-11-14,eutanazja,200,320
310,2019-11-14,Kompleksowy zestaw badań,250,321
311,2019-11-14,badanie krwi,60,322
312,2019-11-14,operacja w znieczuleniu częściowym,400,323
313,2019-11-14,zabieg chirurgiczny drobny,100,324
314,2019-11-14,konsultacja chirurgiczna,40,325
315,2019-11-14,konsultacja chirurgiczna,40,326
316,2019-11-14,konsultacja chirurgiczna,40,327
317,2019-11-14,operacja pod narkozą,450,328
318,2019-11-15,EKG,80,329
319,2019-11-15,zabieg higieniczny drobny,50,330
320,2019-11-15,zabieg higieniczy duży,80,331
321,2019-11-15,zabieg higieniczny drobny,50,332
322,2019-11-15,eutanazja,200,333
323,2019-11-15,wydanie paszportu,100,334
324,2019-11-16,zabieg higieniczny drobny,50,335
325,2019-11-16,RTG,80,336
326,2019-11-18,wydanie paszportu,100,337
327,2019-11-18,konsultacja chirurgiczna,40,338
328,2019-11-18,zabieg chirurgiczny drobny,100,339
329,2019-11-18,zabieg chirurgiczny drobny,100,340
330,2019-11-19,zabieg higieniczy duży,80,342
331,2019-11-19,kontrolna,40,344
332,2019-11-19,zabieg ortopedyczny,200,345
333,2019-11-19,kroplówka witaminowa,50,346
334,2019-11-19,antykoncepcja,150,347
335,2019-11-19,zabieg higieniczny drobny,50,348
336,2019-11-19,zabieg ortopedyczny,200,349
337,2019-11-19,antykoncepcja,150,350
338,2019-11-19,zabieg chirurgiczny drobny,100,351
339,2019-11-19,zabieg okulistyczny,200,352
340,2019-11-19,konsultacja chirurgiczna,40,353
341,2019-11-19,zabieg chrurgii zewnętrznej,300,354
342,2019-11-19,konsultacja chirurgiczna,40,355
343,2019-11-19,zabieg chrurgii zewnętrznej,300,356
344,2019-11-19,konsultacja chirurgiczna,40,357
345,2019-11-20,zabieg higieniczny drobny,50,358
346,2019-11-20,eutanazja,200,359
347,2019-11-20,chipowanie,60,361
348,2019-11-20,wydanie paszportu,100,362
349,2019-11-20,eutanazja,200,363
350,2019-11-20,konsultacja chirurgiczna,40,364
351,2019-11-20,zabieg chirurgiczny drobny,100,366
352,2019-11-20,zabieg okulistyczny,200,367
353,2019-11-21,wydanie paszportu,100,369
354,2019-11-21,zabieg higieniczy duży,80,370
355,2019-11-21,zabieg higieniczy duży,80,371
356,2019-11-21,kontrolna,40,373
357,2019-11-21,USG,100,374
358,2019-11-21,szczepienie,30,375
359,2019-11-21,eutanazja,200,376
360,2019-11-21,szczepienie,30,377
361,2019-11-21,chipowanie,60,378
362,2019-11-21,konsultacja chirurgiczna,40,381
363,2019-11-21,zabieg chrurgii zewnętrznej,300,382
364,2019-11-21,konsultacja chirurgiczna,40,383
365,2019-11-22,EKG,80,384
366,2019-11-22,kroplówka witaminowa,50,386
367,2019-11-22,kontrolna,40,387
368,2019-11-23,RTG,80,389
369,2019-11-23,EKG,80,390
370,2019-11-25,kontrolna,40,391
371,2019-11-25,zabieg higieniczy duży,80,392
372,2019-11-25,badanie krwi,60,393
373,2019-11-25,szczepienie,30,394
374,2019-11-25,kroplówka witaminowa,50,395
375,2019-11-25,testy alergiczne,150,396
376,2019-11-25,konsultacja chirurgiczna,40,397
377,2019-11-25,zabieg chirurgiczny drobny,100,398
378,2019-11-25,zabieg chrurgii zewnętrznej,300,399
379,2019-11-25,zabieg okulistyczny,200,400
380,2019-11-25,zabieg okulistyczny,200,401
381,2019-11-26,zabieg higieniczy duży,80,402
382,2019-11-26,kroplówka witaminowa,50,403
383,2019-11-26,badanie krwi,60,404
384,2019-11-26,testy alergiczne,150,405
385,2019-11-26,zabieg higieniczny drobny,50,406
386,2019-11-26,Kompleksowy zestaw badań,250,407
387,2019-11-26,wydanie paszportu,100,408
388,2019-11-26,testy alergiczne,150,409
389,2019-11-26,RTG,80,410
390,2019-11-26,testy alergiczne,150,411
391,2019-11-26,konsultacja chirurgiczna,40,412
392,2019-11-26,zabieg chirurgii wewnętrznej,300,413
393,2019-11-26,zabieg chirurgiczny drobny,100,414
394,2019-11-27,antykoncepcja,150,415
395,2019-11-27,EKG,80,416
396,2019-11-27,wydanie paszportu,100,417
397,2019-11-27,RTG,80,418
398,2019-11-27,konsultacja chirurgiczna,40,419
399,2019-11-27,konsultacja chirurgiczna,40,420
400,2019-11-27,konsultacja chirurgiczna,40,421
401,2019-11-27,konsultacja chirurgiczna,40,422
402,2019-11-27,operacja w znieczuleniu częściowym,400,423
403,2019-11-28,kontrolna,40,424
404,2019-11-28,szczepienie,30,425
405,2019-11-28,RTG,80,426
406,2019-11-28,testy alergiczne,150,427
407,2019-11-28,testy alergiczne,150,428
408,2019-11-28,EKG,80,429
409,2019-11-28,szczepienie,30,431
410,2019-11-28,badanie krwi,60,432
411,2019-11-28,RTG,80,435
412,2019-11-28,operacja pod narkozą,450,436
413,2019-11-28,konsultacja chirurgiczna,40,437
414,2019-11-28,zabieg chirurgiczny drobny,100,438
415,2019-11-28,operacja pod narkozą,450,439
416,2019-11-29,zabieg higieniczy duży,80,440
417,2019-11-29,chipowanie,60,441
418,2019-11-29,Kompleksowy zestaw badań,250,442
419,2019-11-29,chipowanie,60,443
420,2019-11-29,antykoncepcja,150,444
421,2019-11-30,zabieg ortopedyczny,200,445
422,2019-12-01,EKG,80,446
423,2019-12-01,Kompleksowy zestaw badań,250,447
424,2019-12-01,czynsz,-4500,
425,2019-12-01,firma sprzątająca,-2800,
426,2019-12-01,opłaty,-900,
427,2019-12-01,biuro rachunkowe,-500,
428,2019-12-01,opłaty bankowe,-140,
429,2019-12-01,pensje dla pracowników,-20460,
430,2019-12-02,RTG,80,448
431,2019-12-02,RTG,80,449
432,2019-12-02,kontrolna,40,450
433,2019-12-02,zabieg okulistyczny,200,451
434,2019-12-03,RTG,80,452
435,2019-12-03,zabieg higieniczy duży,80,453
436,2019-12-03,wydanie paszportu,100,454
437,2019-12-03,chipowanie,60,455
438,2019-12-03,zabieg higieniczny drobny,50,456
439,2019-12-03,USG,100,457
440,2019-12-03,szczepienie,30,458
441,2019-12-03,USG,100,459
442,2019-12-03,zabieg ortopedyczny,200,460
443,2019-12-03,konsultacja chirurgiczna,40,461
444,2019-12-03,zabieg okulistyczny,200,462
445,2019-12-03,operacja w znieczuleniu częściowym,400,463
446,2019-12-03,konsultacja chirurgiczna,40,464
447,2019-12-03,konsultacja chirurgiczna,40,465
448,2019-12-04,chipowanie,60,466
449,2019-12-04,testy alergiczne,150,467
450,2019-12-04,kontrolna,40,468
451,2019-12-04,zabieg higieniczny drobny,50,469
452,2019-12-04,wydanie paszportu,100,470
453,2019-12-04,zabieg ortopedyczny,200,472
454,2019-12-04,zabieg chirurgiczny drobny,100,473
455,2019-12-04,zabieg chrurgii zewnętrznej,300,474
456,2019-12-04,operacja pod narkozą,450,475
457,2019-12-04,zabieg chrurgii zewnętrznej,300,476
458,2019-12-05,EKG,80,477
459,2019-12-05,USG,100,478
460,2019-12-05,badanie krwi,60,481
461,2019-12-05,kroplówka witaminowa,50,482
462,2019-12-05,EKG,80,483
463,2019-12-05,zabieg higieniczny drobny,50,484
464,2019-12-05,EKG,80,485
465,2019-12-05,Kompleksowy zestaw badań,250,486
466,2019-12-05,RTG,80,487
467,2019-12-05,kontrolna,40,488
468,2019-12-05,badanie krwi,60,489
469,2019-12-05,szczepienie,30,490
470,2019-12-05,zabieg chirurgiczny drobny,100,491
471,2019-12-05,konsultacja chirurgiczna,40,492
472,2019-12-05,zabieg chirurgii wewnętrznej,300,494
473,2019-12-05,konsultacja chirurgiczna,40,495
474,2019-12-05,operacja pod narkozą,450,496
475,2019-12-05,zabieg chirurgiczny drobny,100,497
476,2019-12-06,wydanie paszportu,100,498
477,2019-12-06,Kompleksowy zestaw badań,250,499
478,2019-12-06,wydanie paszportu,100,500
479,2019-12-06,antykoncepcja,150,501
480,2019-12-06,Kompleksowy zestaw badań,250,502
481,2019-12-07,eutanazja,200,503
482,2019-12-07,Kompleksowy zestaw badań,250,504
483,2019-12-08,kroplówka witaminowa,50,505
484,2019-12-08,USG,100,506
485,2019-12-08,szczepienie,30,507
486,2019-12-09,testy alergiczne,150,508
487,2019-12-09,wydanie paszportu,100,509
488,2019-12-09,wydanie paszportu,100,510
489,2019-12-09,EKG,80,511
490,2019-12-09,zabieg chrurgii zewnętrznej,300,512
491,2019-12-10,wydanie paszportu,100,513
492,2019-12-10,antykoncepcja,150,514
493,2019-12-10,kroplówka witaminowa,50,515
494,2019-12-10,Kompleksowy zestaw badań,250,516
495,2019-12-10,antykoncepcja,150,518
496,2019-12-10,kontrolna,40,519
497,2019-12-10,konsultacja chirurgiczna,40,520
498,2019-12-10,operacja pod narkozą,450,521
499,2019-12-10,konsultacja chirurgiczna,40,522
500,2019-12-10,konsultacja chirurgiczna,40,523
501,2019-12-11,zabieg higieniczy duży,80,524
502,2019-12-11,RTG,80,525
503,2019-12-11,kontrolna,40,526
504,2019-12-11,kroplówka witaminowa,50,527
505,2019-12-11,szczepienie,30,528
506,2019-12-11,kontrolna,40,529
507,2019-12-11,zabieg higieniczny drobny,50,530
508,2019-12-11,EKG,80,531
509,2019-12-11,zabieg higieniczy duży,80,532
510,2019-12-11,zabieg higieniczy duży,80,533
511,2019-12-11,kontrolna,40,534
512,2019-12-11,zabieg chrurgii zewnętrznej,300,535
513,2019-12-11,zabieg chirurgiczny drobny,100,536
514,2019-12-11,konsultacja chirurgiczna,40,537
515,2019-12-11,konsultacja chirurgiczna,40,538
516,2019-12-11,zabieg chrurgii zewnętrznej,300,539
517,2019-12-12,USG,100,540
518,2019-12-12,wydanie paszportu,100,541
519,2019-12-12,szczepienie,30,542
520,2019-12-12,chipowanie,60,543
521,2019-12-12,testy alergiczne,150,544
522,2019-12-12,eutanazja,200,545
523,2019-12-12,antykoncepcja,150,546
524,2019-12-12,USG,100,547
525,2019-12-12,testy alergiczne,150,548
526,2019-12-12,antykoncepcja,150,549
527,2019-12-12,eutanazja,200,550
528,2019-12-12,zabieg okulistyczny,200,551
529,2019-12-12,zabieg chrurgii zewnętrznej,300,552
530,2019-12-12,konsultacja chirurgiczna,40,553
531,2019-12-13,kontrolna,40,554
532,2019-12-13,kroplówka witaminowa,50,556
533,2019-12-13,zabieg higieniczny drobny,50,557
534,2019-12-14,zabieg higieniczny drobny,50,558
535,2019-12-14,zabieg ortopedyczny,200,559
536,2019-12-15,zabieg higieniczny drobny,50,560
537,2019-12-15,eutanazja,200,561
538,2019-12-16,Kompleksowy zestaw badań,250,562
539,2019-12-16,USG,100,563
540,2019-12-16,zabieg ortopedyczny,200,564
541,2019-12-16,zabieg chirurgiczny drobny,100,565
542,2019-12-16,operacja w znieczuleniu częściowym,400,566
543,2019-12-16,konsultacja chirurgiczna,40,567
544,2019-12-16,konsultacja chirurgiczna,40,568
545,2019-12-17,eutanazja,200,569
546,2019-12-17,badanie krwi,60,570
547,2019-12-17,zabieg ortopedyczny,200,571
548,2019-12-17,antykoncepcja,150,572
549,2019-12-17,kroplówka witaminowa,50,573
550,2019-12-17,testy alergiczne,150,574
551,2019-12-17,zabieg chirurgiczny drobny,100,575
552,2019-12-17,zabieg okulistyczny,200,576
553,2019-12-17,zabieg chrurgii zewnętrznej,300,577
554,2019-12-18,badanie krwi,60,578
555,2019-12-18,zabieg ortopedyczny,200,579
556,2019-12-18,eutanazja,200,580
557,2019-12-18,EKG,80,581
558,2019-12-18,zabieg higieniczny drobny,50,582
559,2019-12-18,zabieg higieniczny drobny,50,583
560,2019-12-18,testy alergiczne,150,584
561,2019-12-18,kontrolna,40,586
562,2019-12-18,zabieg ortopedyczny,200,587
563,2019-12-18,konsultacja chirurgiczna,40,588
564,2019-12-18,zabieg okulistyczny,200,589
565,2019-12-18,zabieg chirurgiczny drobny,100,590
566,2019-12-18,konsultacja chirurgiczna,40,591
567,2019-12-19,wydanie paszportu,100,592
568,2019-12-19,badanie krwi,60,594
569,2019-12-19,EKG,80,595
570,2019-12-19,USG,100,596
571,2019-12-19,zabieg ortopedyczny,200,597
572,2019-12-19,USG,100,598
573,2019-12-19,zabieg chirurgiczny drobny,100,599
574,2019-12-19,zabieg chirurgiczny drobny,100,600
575,2019-12-19,zabieg chirurgiczny drobny,100,601
576,2019-12-19,zabieg chirurgiczny drobny,100,602
577,2019-12-19,konsultacja chirurgiczna,40,603
578,2019-12-19,konsultacja chirurgiczna,40,604
579,2019-12-20,antykoncepcja,150,605
580,2019-12-20,RTG,80,606
581,2019-12-21,szczepienie,30,607
582,2019-12-22,wydanie paszportu,100,608
583,2019-12-22,kontrolna,40,609
584,2019-12-23,zabieg higieniczy duży,80,610
585,2019-12-23,szczepienie,30,611
586,2019-12-23,kontrolna,40,612
587,2019-12-23,EKG,80,613
588,2019-12-23,zabieg chirurgiczny drobny,100,614
589,2019-12-23,zabieg chrurgii zewnętrznej,300,615
590,2019-12-24,szczepienie,30,617
591,2019-12-24,zabieg higieniczny drobny,50,618
592,2019-12-24,wydanie paszportu,100,619
593,2019-12-24,zabieg ortopedyczny,200,620
594,2019-12-24,testy alergiczne,150,621
595,2019-12-24,zabieg higieniczy duży,80,624
596,2019-12-24,zabieg chirurgiczny drobny,100,626
597,2019-12-24,konsultacja chirurgiczna,40,627
598,2019-12-24,konsultacja chirurgiczna,40,628
599,2019-12-24,konsultacja chirurgiczna,40,630
600,2019-12-24,zabieg chirurgii wewnętrznej,300,631
601,2019-12-25,badanie krwi,60,636
602,2019-12-25,chipowanie,60,637
603,2019-12-25,zabieg chirurgii wewnętrznej,300,638
604,2019-12-25,zabieg chirurgiczny drobny,100,639
605,2019-12-25,konsultacja chirurgiczna,40,640
