,id_wizyty,Data,Godzina,Id lekarza,Czas trwania wizyty,Rodzaj wizyty,id_zwierzęcia
37,37,2019-10-09,13:30:00,3,01:00,zabieg chrurgii zewnętrznej,1109
38,38,2019-10-09,15:45:00,3,00:30,zabieg chirurgiczny drobny,594
39,39,2019-10-10,10:30:00,1,00:15,chipowanie,800
40,40,2019-10-10,12:15:00,1,01:00,antykoncepcja,424
41,41,2019-10-10,13:15:00,1,00:15,kontrolna,894
42,42,2019-10-10,13:30:00,1,00:30,EKG,1006
43,43,2019-10-10,14:00:00,1,00:30,USG,424
44,44,2019-10-10,09:00:00,2,00:15,wydanie paszportu,304
45,45,2019-10-10,11:00:00,3,00:15,konsultacja chirurgiczna,894
46,46,2019-10-10,11:15:00,3,00:30,zabieg chirurgiczny drobny,1121
47,47,2019-10-10,11:45:00,3,01:00,zabieg chrurgii zewnętrznej,1109
48,48,2019-10-10,13:00:00,3,01:00,zabieg chrurgii zewnętrznej,894
49,49,2019-10-10,14:00:00,3,00:15,konsultacja chirurgiczna,800
50,50,2019-10-10,15:45:00,3,00:15,konsultacja chirurgiczna,304
51,51,2019-10-11,08:00:00,2,00:30,zabieg higieniczy duży,424
52,52,2019-10-11,08:30:00,2,00:15,badanie krwi,1109
53,53,2019-10-11,08:45:00,2,00:30,RTG,424
54,54,2019-10-11,10:15:00,2,00:30,zabieg higieniczy duży,594
55,55,2019-10-11,13:30:00,2,00:15,chipowanie,594
56,56,2019-10-11,16:45:00,2,00:15,chipowanie,594
57,57,2019-10-11,17:00:00,2,00:30,EKG,1109
58,58,2019-10-12,10:00:00,1,00:15,szczepienie,72
59,59,2019-10-13,09:30:00,2,00:15,badanie krwi,1006
60,60,2019-10-14,12:00:00,1,00:30,EKG,894
61,61,2019-10-14,12:45:00,1,00:15,chipowanie,496
62,62,2019-10-14,08:00:00,3,00:15,konsultacja chirurgiczna,424
63,63,2019-10-14,09:15:00,3,00:30,zabieg chirurgiczny drobny,1109
64,64,2019-10-14,11:45:00,3,00:15,konsultacja chirurgiczna,1006
65,65,2019-10-14,12:00:00,3,00:15,konsultacja chirurgiczna,1121
66,66,2019-10-15,08:00:00,1,00:30,kroplówka witaminowa,277
67,67,2019-10-15,10:00:00,1,00:30,EKG,972
68,68,2019-10-15,11:00:00,1,00:15,chipowanie,82
69,69,2019-10-15,12:15:00,1,00:15,kontrolna,800
70,70,2019-10-15,12:45:00,1,00:30,RTG,1180
71,71,2019-10-15,10:15:00,2,00:15,chipowanie,894
72,72,2019-10-15,12:30:00,2,00:30,RTG,740
73,73,2019-10-15,09:15:00,3,00:15,konsultacja chirurgiczna,424
74,74,2019-10-15,09:30:00,3,01:00,zabieg chirurgii wewnętrznej,424
75,75,2019-10-15,10:30:00,3,00:15,konsultacja chirurgiczna,496
76,76,2019-10-15,11:00:00,3,00:30,zabieg chirurgiczny drobny,800
77,77,2019-10-15,11:30:00,3,02:00,operacja w znieczuleniu częściowym,381
78,78,2019-10-15,15:15:00,3,02:00,operacja w znieczuleniu częściowym,82
79,79,2019-10-16,08:45:00,1,01:00,antykoncepcja,72
80,80,2019-10-16,09:45:00,1,01:00,antykoncepcja,594
81,81,2019-10-16,12:15:00,1,00:15,chipowanie,304
82,82,2019-10-16,13:30:00,2,00:15,zabieg higieniczny drobny,438
83,83,2019-10-16,14:45:00,2,00:15,kontrolna,82
84,84,2019-10-16,08:00:00,3,00:15,konsultacja chirurgiczna,800
85,85,2019-10-16,08:45:00,3,00:15,konsultacja chirurgiczna,179
86,86,2019-10-16,09:00:00,3,00:15,konsultacja chirurgiczna,894
87,87,2019-10-16,10:45:00,3,00:30,zabieg chirurgiczny drobny,594
88,88,2019-10-16,12:15:00,3,00:15,konsultacja chirurgiczna,496
89,89,2019-10-16,12:30:00,3,00:30,zabieg chirurgiczny drobny,424
90,90,2019-10-16,13:00:00,3,00:15,konsultacja chirurgiczna,424
91,91,2019-10-16,15:00:00,3,01:00,zabieg chirurgii wewnętrznej,1121
92,92,2019-10-17,10:45:00,1,01:00,zabieg ortopedyczny,903
93,93,2019-10-17,13:00:00,1,02:00,Kompleksowy zestaw badań ,794
94,94,2019-10-17,16:00:00,1,00:30,EKG,542
95,95,2019-10-17,17:15:00,1,00:15,kontrolna,894
96,96,2019-10-17,08:00:00,2,01:00,testy alergiczne,424
97,97,2019-10-17,09:30:00,2,00:15,zabieg higieniczny drobny,375
98,98,2019-10-17,14:30:00,2,00:15,kontrolna,496
99,99,2019-10-17,16:00:00,2,00:15,szczepienie,794
100,100,2019-10-17,17:45:00,2,01:00,testy alergiczne,277
101,101,2019-10-17,08:30:00,3,00:15,konsultacja chirurgiczna,375
102,102,2019-10-17,09:15:00,3,00:30,zabieg chirurgiczny drobny,583
103,103,2019-10-17,10:00:00,3,00:30,zabieg chirurgiczny drobny,808
104,104,2019-10-17,11:45:00,3,00:15,konsultacja chirurgiczna,304
105,105,2019-10-17,12:15:00,3,00:30,zabieg chirurgiczny drobny,1109
106,106,2019-10-17,14:15:00,3,00:30,zabieg chirurgiczny drobny,1006
107,107,2019-10-17,15:15:00,3,00:30,zabieg chirurgiczny drobny,894
108,108,2019-10-18,08:30:00,2,00:15,wydanie paszportu,566
109,109,2019-10-19,10:45:00,1,01:00,zabieg ortopedyczny,381
110,110,2019-10-19,12:45:00,1,00:30,USG,583
111,111,2019-10-20,09:00:00,2,01:00,antykoncepcja,1109
112,112,2019-10-20,12:00:00,2,00:15,szczepienie,583
113,113,2019-10-21,08:00:00,1,01:00,zabieg ortopedyczny,375
114,114,2019-10-21,08:00:00,3,00:30,zabieg chirurgiczny drobny,72
115,115,2019-10-21,08:30:00,3,01:00,zabieg chrurgii zewnętrznej,82
116,116,2019-10-21,10:45:00,3,02:00,operacja w znieczuleniu częściowym,794
117,117,2019-10-21,13:15:00,3,01:00,zabieg chirurgii wewnętrznej,542
118,118,2019-10-22,08:00:00,1,02:00,eutanazja,328
119,119,2019-10-22,10:15:00,1,00:15,badanie krwi,72
120,120,2019-10-22,12:30:00,1,02:00,eutanazja,259
121,121,2019-10-22,08:30:00,2,00:30,EKG,100
122,122,2019-10-22,09:00:00,2,01:00,zabieg ortopedyczny,306
123,123,2019-10-22,11:00:00,2,01:00,zabieg ortopedyczny,594
124,124,2019-10-22,12:00:00,2,00:15,wydanie paszportu,800
125,125,2019-10-22,15:00:00,2,00:15,kontrolna,1176
126,126,2019-10-22,08:00:00,3,00:30,zabieg chirurgiczny drobny,306
127,127,2019-10-22,08:45:00,3,00:15,konsultacja chirurgiczna,193
128,128,2019-10-22,09:00:00,3,01:00,zabieg chirurgii wewnętrznej,381
129,129,2019-10-22,10:00:00,3,00:15,konsultacja chirurgiczna,375
130,130,2019-10-22,14:45:00,3,00:15,konsultacja chirurgiczna,1176
131,131,2019-10-22,15:00:00,3,00:15,konsultacja chirurgiczna,894
132,132,2019-10-23,13:00:00,1,00:15,kontrolna,424
133,133,2019-10-23,08:45:00,2,00:15,badanie krwi,431
134,134,2019-10-23,09:45:00,2,00:15,badanie krwi,903
135,135,2019-10-23,14:45:00,2,01:00,zabieg ortopedyczny,100
136,136,2019-10-23,15:45:00,2,00:15,szczepienie,972
137,137,2019-10-23,08:00:00,3,02:00,operacja pod narkozą,438
138,138,2019-10-23,13:30:00,3,00:30,zabieg chirurgiczny drobny,304
139,139,2019-10-24,08:00:00,1,00:15,wydanie paszportu,100
140,140,2019-10-24,08:45:00,1,02:00,Kompleksowy zestaw badań ,100
141,141,2019-10-24,12:15:00,1,00:30,USG,375
142,142,2019-10-24,12:45:00,1,00:30,EKG,903
143,143,2019-10-24,13:15:00,1,00:30,zabieg higieniczy duży,72
144,144,2019-10-24,15:45:00,1,00:15,zabieg higieniczny drobny,82
145,145,2019-10-24,09:30:00,2,00:30,EKG,357
146,146,2019-10-24,10:00:00,2,00:15,badanie krwi,82
147,147,2019-10-24,11:00:00,2,00:15,badanie krwi,594
148,148,2019-10-24,11:15:00,2,00:30,zabieg higieniczy duży,438
149,149,2019-10-24,12:00:00,2,02:00,Kompleksowy zestaw badań ,277
150,150,2019-10-24,16:30:00,2,00:30,USG,375
151,151,2019-10-24,17:00:00,2,00:15,zabieg higieniczny drobny,306
152,152,2019-10-24,17:15:00,2,01:00,antykoncepcja,496
153,153,2019-10-24,14:45:00,3,00:30,zabieg chirurgiczny drobny,800
154,154,2019-10-24,15:45:00,3,02:00,operacja pod narkozą,1109
155,155,2019-10-24,17:45:00,3,01:00,zabieg chirurgii wewnętrznej,740
156,156,2019-10-25,09:45:00,2,02:00,eutanazja,566
157,157,2019-10-25,12:00:00,2,00:30,EKG,1006
158,158,2019-10-25,14:45:00,2,01:00,zabieg ortopedyczny,496
159,159,2019-10-25,16:45:00,2,00:30,USG,100
160,160,2019-10-26,10:15:00,1,01:00,testy alergiczne,740
161,161,2019-10-27,11:00:00,2,00:30,RTG,1109
162,162,2019-10-28,09:15:00,1,00:30,kroplówka witaminowa,542
163,163,2019-10-28,10:00:00,1,02:00,Kompleksowy zestaw badań ,193
164,164,2019-10-28,14:15:00,1,00:30,USG,911
165,165,2019-10-28,11:30:00,3,00:30,zabieg chirurgiczny drobny,424
166,166,2019-10-28,14:00:00,3,01:00,zabieg chrurgii zewnętrznej,306
167,167,2019-10-28,15:30:00,3,00:15,konsultacja chirurgiczna,406
168,168,2019-10-29,08:00:00,1,00:30,zabieg higieniczy duży,438
169,169,2019-10-29,08:45:00,1,00:30,kroplówka witaminowa,1173
170,170,2019-10-29,13:15:00,1,00:30,EKG,1171
171,171,2019-10-29,13:45:00,1,01:00,antykoncepcja,1180
172,172,2019-10-29,08:00:00,2,00:15,szczepienie,72
173,173,2019-10-29,11:30:00,2,02:00,eutanazja,496
174,174,2019-10-29,15:00:00,2,00:15,zabieg higieniczny drobny,1006
175,175,2019-10-29,09:00:00,3,00:15,konsultacja chirurgiczna,82
176,176,2019-10-29,11:30:00,3,00:15,konsultacja chirurgiczna,193
177,177,2019-10-29,13:00:00,3,00:15,konsultacja chirurgiczna,808
178,178,2019-10-29,15:30:00,3,01:00,zabieg chirurgii wewnętrznej,179
179,179,2019-10-30,08:45:00,2,01:00,zabieg ortopedyczny,794
180,180,2019-10-30,09:45:00,2,00:15,zabieg higieniczny drobny,1173
181,181,2019-10-30,12:45:00,2,00:30,zabieg higieniczy duży,424
182,182,2019-10-30,14:45:00,2,00:15,chipowanie,903
183,183,2019-10-30,08:00:00,3,00:15,konsultacja chirurgiczna,304
184,184,2019-10-30,08:15:00,3,00:15,konsultacja chirurgiczna,894
185,185,2019-10-30,10:30:00,3,01:00,zabieg okulistyczny ,961
186,186,2019-10-30,12:00:00,3,00:15,konsultacja chirurgiczna,782
187,187,2019-10-30,12:15:00,3,00:30,zabieg chirurgiczny drobny,1121
188,188,2019-10-30,13:15:00,3,01:00,zabieg okulistyczny ,903
189,189,2019-10-30,14:15:00,3,00:30,zabieg chirurgiczny drobny,1121
190,190,2019-10-31,08:30:00,1,00:15,szczepienie,179
191,191,2019-10-31,11:30:00,1,00:15,chipowanie,406
192,192,2019-10-31,12:00:00,1,00:15,wydanie paszportu,1109
193,193,2019-10-31,15:00:00,1,00:30,kroplówka witaminowa,82
194,194,2019-10-31,17:30:00,1,00:15,chipowanie,282
195,195,2019-10-31,12:00:00,2,00:15,chipowanie,894
196,196,2019-10-31,17:15:00,2,00:15,szczepienie,808
197,197,2019-10-31,09:30:00,3,00:15,konsultacja chirurgiczna,808
198,198,2019-10-31,09:45:00,3,00:30,zabieg chirurgiczny drobny,72
199,199,2019-10-31,11:45:00,3,00:15,konsultacja chirurgiczna,304
200,200,2019-10-31,12:15:00,3,00:15,konsultacja chirurgiczna,255
201,201,2019-10-31,16:00:00,3,00:30,zabieg chirurgiczny drobny,1109
202,202,2019-11-01,11:15:00,2,01:00,zabieg ortopedyczny,903
203,203,2019-11-01,14:15:00,2,00:15,zabieg higieniczny drobny,894
204,204,2019-11-02,12:45:00,1,00:15,szczepienie,424
205,205,2019-11-03,12:45:00,2,00:15,badanie krwi,1180
206,206,2019-11-04,08:00:00,1,01:00,antykoncepcja,277
207,207,2019-11-04,09:30:00,1,00:15,wydanie paszportu,559
208,208,2019-11-04,10:30:00,1,01:00,antykoncepcja,585
209,209,2019-11-04,08:45:00,3,02:00,operacja pod narkozą,800
210,210,2019-11-04,10:45:00,3,00:30,zabieg chirurgiczny drobny,357
211,211,2019-11-04,11:30:00,3,00:15,konsultacja chirurgiczna,375
212,212,2019-11-04,11:45:00,3,01:00,zabieg chirurgii wewnętrznej,424
213,213,2019-11-04,13:15:00,3,00:30,zabieg chirurgiczny drobny,375
214,214,2019-11-05,08:15:00,1,00:15,wydanie paszportu,1180
215,215,2019-11-05,12:30:00,1,01:00,antykoncepcja,375
216,216,2019-11-05,14:45:00,1,00:15,wydanie paszportu,528
217,217,2019-11-05,15:15:00,1,01:00,testy alergiczne,353
218,218,2019-11-05,08:30:00,2,01:00,testy alergiczne,58
219,219,2019-11-05,10:30:00,2,00:30,EKG,903
220,220,2019-11-05,11:30:00,2,00:30,EKG,277
221,221,2019-11-05,10:15:00,3,00:30,zabieg chirurgiczny drobny,800
222,222,2019-11-05,11:15:00,3,00:30,zabieg chirurgiczny drobny,1171
223,223,2019-11-05,15:00:00,3,00:30,zabieg chirurgiczny drobny,120
224,224,2019-11-05,15:30:00,3,00:30,zabieg chirurgiczny drobny,1180
225,225,2019-11-06,12:45:00,1,01:00,zabieg ortopedyczny,740
226,226,2019-11-06,15:45:00,1,02:00,Kompleksowy zestaw badań ,237
227,227,2019-11-06,08:30:00,2,00:15,badanie krwi,782
228,228,2019-11-06,10:45:00,2,01:00,testy alergiczne,246
229,229,2019-11-06,11:45:00,2,00:15,zabieg higieniczny drobny,583
230,230,2019-11-06,14:00:00,2,01:00,antykoncepcja,357
231,231,2019-11-06,15:00:00,2,00:30,EKG,193
232,232,2019-11-06,08:00:00,3,00:15,konsultacja chirurgiczna,583
233,233,2019-11-06,08:15:00,3,00:15,konsultacja chirurgiczna,72
234,234,2019-11-06,10:30:00,3,00:30,zabieg chirurgiczny drobny,179
235,235,2019-11-06,14:30:00,3,00:30,zabieg chirurgiczny drobny,179
236,236,2019-11-07,08:00:00,1,00:15,szczepienie,903
237,237,2019-11-07,08:15:00,1,00:30,USG,903
238,238,2019-11-07,08:45:00,1,00:30,USG,353
239,239,2019-11-07,11:15:00,1,00:15,zabieg higieniczny drobny,1082
240,240,2019-11-07,11:30:00,1,00:30,EKG,304
241,241,2019-11-07,12:30:00,1,00:15,zabieg higieniczny drobny,929
242,242,2019-11-07,16:30:00,1,02:00,Kompleksowy zestaw badań ,424
243,243,2019-11-07,08:00:00,2,00:30,kroplówka witaminowa,304
244,244,2019-11-07,08:30:00,2,00:30,EKG,903
245,245,2019-11-07,11:30:00,2,00:15,szczepienie,1033
246,246,2019-11-07,12:15:00,2,00:30,USG,237
247,247,2019-11-07,13:15:00,2,00:15,badanie krwi,847
248,248,2019-11-07,15:00:00,2,00:30,EKG,700
249,249,2019-11-07,17:15:00,2,00:15,szczepienie,929
250,250,2019-11-07,10:15:00,3,00:15,konsultacja chirurgiczna,1176
251,251,2019-11-07,11:30:00,3,00:15,konsultacja chirurgiczna,583
252,252,2019-11-07,13:30:00,3,00:15,konsultacja chirurgiczna,282
253,253,2019-11-07,16:15:00,3,00:15,konsultacja chirurgiczna,1101
254,254,2019-11-07,16:30:00,3,00:30,zabieg chirurgiczny drobny,894
255,255,2019-11-07,17:15:00,3,00:15,konsultacja chirurgiczna,1006
256,256,2019-11-08,08:00:00,2,01:00,testy alergiczne,1109
257,257,2019-11-08,11:15:00,2,01:00,testy alergiczne,585
258,258,2019-11-08,13:00:00,2,00:15,wydanie paszportu,890
259,259,2019-11-08,13:15:00,2,00:15,badanie krwi,782
260,260,2019-11-08,17:00:00,2,00:15,kontrolna,847
261,261,2019-11-08,17:15:00,2,00:30,USG,911
262,262,2019-11-08,17:45:00,2,00:15,kontrolna,381
263,263,2019-11-10,10:00:00,2,00:15,kontrolna,353
264,264,2019-11-10,10:15:00,2,01:00,zabieg ortopedyczny,740
265,265,2019-11-11,08:45:00,1,00:15,wydanie paszportu,353
266,266,2019-11-11,09:00:00,1,00:30,EKG,494
267,267,2019-11-11,09:30:00,1,00:30,kroplówka witaminowa,282
268,268,2019-11-11,10:15:00,1,00:15,chipowanie,658
269,269,2019-11-11,14:00:00,1,00:15,badanie krwi,257
270,270,2019-11-11,08:15:00,3,00:30,zabieg chirurgiczny drobny,1082
271,271,2019-11-11,11:15:00,3,00:15,konsultacja chirurgiczna,1082
272,272,2019-11-12,08:00:00,1,00:15,badanie krwi,929
273,273,2019-11-12,11:45:00,1,00:15,szczepienie,424
274,274,2019-11-12,14:15:00,1,00:15,badanie krwi,375
275,275,2019-11-12,15:45:00,1,00:15,szczepienie,1173
276,276,2019-11-12,08:00:00,2,00:30,kroplówka witaminowa,1000
277,277,2019-11-12,09:00:00,2,00:30,USG,847
278,278,2019-11-12,11:30:00,2,01:00,antykoncepcja,424
279,279,2019-11-12,12:30:00,2,00:15,chipowanie,980
280,280,2019-11-12,08:00:00,3,00:15,konsultacja chirurgiczna,832
281,281,2019-11-12,08:15:00,3,00:15,konsultacja chirurgiczna,1101
282,282,2019-11-12,10:00:00,3,00:30,zabieg chirurgiczny drobny,919
283,283,2019-11-12,10:30:00,3,00:30,zabieg chirurgiczny drobny,542
284,284,2019-11-12,11:00:00,3,00:15,konsultacja chirurgiczna,1006
285,285,2019-11-12,13:15:00,3,00:30,zabieg chirurgiczny drobny,972
286,286,2019-11-12,14:45:00,3,00:15,konsultacja chirurgiczna,424
287,287,2019-11-13,10:15:00,1,00:30,USG,1173
288,288,2019-11-13,12:30:00,1,01:00,testy alergiczne,15
289,289,2019-11-13,14:30:00,1,00:30,zabieg higieniczy duży,929
290,290,2019-11-13,13:00:00,2,00:15,szczepienie,1082
291,291,2019-11-13,15:45:00,3,02:00,operacja pod narkozą,1176
292,292,2019-11-14,08:00:00,1,00:30,RTG,542
293,293,2019-11-14,11:45:00,1,00:15,kontrolna,559
294,294,2019-11-14,12:30:00,1,00:15,szczepienie,282
295,295,2019-11-14,12:45:00,1,00:15,szczepienie,919
296,296,2019-11-14,13:15:00,1,00:30,zabieg higieniczy duży,929
297,297,2019-11-14,15:15:00,1,00:15,szczepienie,890
298,298,2019-11-14,16:00:00,1,01:00,testy alergiczne,832
299,299,2019-11-14,08:00:00,2,00:30,USG,794
300,300,2019-11-14,09:00:00,2,01:00,zabieg ortopedyczny,1109
301,301,2019-11-14,11:15:00,2,00:30,USG,120
302,302,2019-11-14,11:45:00,2,02:00,eutanazja,919
303,303,2019-11-14,14:45:00,2,02:00,Kompleksowy zestaw badań ,911
304,304,2019-11-14,16:45:00,2,00:15,badanie krwi,890
305,305,2019-11-14,10:30:00,3,02:00,operacja w znieczuleniu częściowym,1142
306,306,2019-11-14,14:00:00,3,00:30,zabieg chirurgiczny drobny,314
307,307,2019-11-14,15:45:00,3,00:15,konsultacja chirurgiczna,430
308,308,2019-11-14,16:00:00,3,00:15,konsultacja chirurgiczna,255
309,309,2019-11-14,17:15:00,3,00:15,konsultacja chirurgiczna,894
310,310,2019-11-14,17:30:00,3,02:00,operacja pod narkozą,782
311,311,2019-11-15,08:00:00,2,00:30,EKG,424
312,312,2019-11-15,08:30:00,2,00:15,zabieg higieniczny drobny,438
313,313,2019-11-15,08:45:00,2,00:30,zabieg higieniczy duży,740
314,314,2019-11-15,12:30:00,2,00:15,zabieg higieniczny drobny,430
315,315,2019-11-15,14:15:00,2,02:00,eutanazja,972
316,316,2019-11-15,17:15:00,2,00:15,wydanie paszportu,894
317,317,2019-11-16,09:00:00,1,00:15,zabieg higieniczny drobny,237
318,318,2019-11-16,12:15:00,1,00:30,RTG,72
319,319,2019-11-18,15:00:00,1,00:15,wydanie paszportu,903
320,320,2019-11-18,08:15:00,3,00:15,konsultacja chirurgiczna,831
321,321,2019-11-18,09:00:00,3,00:30,zabieg chirurgiczny drobny,375
322,322,2019-11-18,09:30:00,3,00:30,zabieg chirurgiczny drobny,381
323,323,2019-11-19,08:30:00,1,00:30,zabieg higieniczy duży,980
324,324,2019-11-19,10:00:00,1,00:15,kontrolna,58
325,325,2019-11-19,10:15:00,1,01:00,zabieg ortopedyczny,306
326,326,2019-11-19,14:30:00,1,00:30,kroplówka witaminowa,890
327,327,2019-11-19,15:30:00,1,01:00,antykoncepcja,1142
328,328,2019-11-19,08:00:00,2,00:15,zabieg higieniczny drobny,406
329,329,2019-11-19,09:30:00,2,01:00,zabieg ortopedyczny,794
330,330,2019-11-19,13:00:00,2,01:00,antykoncepcja,1006
331,331,2019-11-19,08:00:00,3,00:30,zabieg chirurgiczny drobny,186
332,332,2019-11-19,09:30:00,3,01:00,zabieg okulistyczny ,847
333,333,2019-11-19,10:30:00,3,00:15,konsultacja chirurgiczna,406
334,334,2019-11-19,10:45:00,3,01:00,zabieg chrurgii zewnętrznej,903
335,335,2019-11-19,12:45:00,3,00:15,konsultacja chirurgiczna,578
336,336,2019-11-19,14:30:00,3,01:00,zabieg chrurgii zewnętrznej,72
337,337,2019-11-19,15:30:00,3,00:15,konsultacja chirurgiczna,1173
338,338,2019-11-20,09:30:00,1,00:15,zabieg higieniczny drobny,740
339,339,2019-11-20,10:30:00,1,02:00,eutanazja,929
340,340,2019-11-20,15:15:00,1,00:15,chipowanie,251
341,341,2019-11-20,10:30:00,2,00:15,wydanie paszportu,578
342,342,2019-11-20,13:30:00,2,02:00,eutanazja,700
343,343,2019-11-20,09:30:00,3,00:15,konsultacja chirurgiczna,45
344,344,2019-11-20,10:30:00,3,00:30,zabieg chirurgiczny drobny,314
345,345,2019-11-20,11:15:00,3,01:00,zabieg okulistyczny ,257
346,346,2019-11-21,10:30:00,1,00:15,wydanie paszportu,1000
347,347,2019-11-21,16:15:00,1,00:30,zabieg higieniczy duży,481
348,348,2019-11-21,08:00:00,2,00:30,zabieg higieniczy duży,314
349,349,2019-11-21,08:45:00,2,00:15,kontrolna,890
350,350,2019-11-21,09:30:00,2,00:30,USG,277
351,351,2019-11-21,10:00:00,2,00:15,szczepienie,450
352,352,2019-11-21,10:15:00,2,02:00,eutanazja,847
353,353,2019-11-21,16:00:00,2,00:15,szczepienie,279
354,354,2019-11-21,16:15:00,2,00:15,chipowanie,414
355,355,2019-11-21,10:45:00,3,00:15,konsultacja chirurgiczna,740
356,356,2019-11-21,11:00:00,3,01:00,zabieg chrurgii zewnętrznej,680
357,357,2019-11-21,14:30:00,3,00:15,konsultacja chirurgiczna,82
358,358,2019-11-22,09:00:00,2,00:30,EKG,801
359,359,2019-11-22,15:45:00,2,00:30,kroplówka witaminowa,255
360,360,2019-11-22,17:00:00,2,00:15,kontrolna,353
361,361,2019-11-23,09:15:00,1,00:30,RTG,277
362,362,2019-11-23,10:30:00,1,00:30,EKG,72
363,363,2019-11-25,08:00:00,1,00:15,kontrolna,801
364,364,2019-11-25,08:15:00,1,00:30,zabieg higieniczy duży,353
365,365,2019-11-25,11:00:00,1,00:15,badanie krwi,438
366,366,2019-11-25,11:45:00,1,00:15,szczepienie,424
367,367,2019-11-25,13:45:00,1,00:30,kroplówka witaminowa,1194
368,368,2019-11-25,14:15:00,1,01:00,testy alergiczne,1000
369,369,2019-11-25,11:45:00,3,00:15,konsultacja chirurgiczna,45
370,370,2019-11-25,12:00:00,3,00:30,zabieg chirurgiczny drobny,438
371,371,2019-11-25,13:30:00,3,01:00,zabieg chrurgii zewnętrznej,1006
372,372,2019-11-25,14:30:00,3,01:00,zabieg okulistyczny ,832
373,373,2019-11-25,15:30:00,3,01:00,zabieg okulistyczny ,82
374,374,2019-11-26,12:00:00,1,00:30,zabieg higieniczy duży,304
375,375,2019-11-26,12:30:00,1,00:30,kroplówka witaminowa,449
376,376,2019-11-26,15:15:00,1,00:15,badanie krwi,314
377,377,2019-11-26,15:30:00,1,01:00,testy alergiczne,1129
378,378,2019-11-26,08:00:00,2,00:15,zabieg higieniczny drobny,277
379,379,2019-11-26,08:15:00,2,02:00,Kompleksowy zestaw badań ,680
380,380,2019-11-26,10:30:00,2,00:15,wydanie paszportu,279
381,381,2019-11-26,10:45:00,2,01:00,testy alergiczne,82
382,382,2019-11-26,12:45:00,2,00:30,RTG,120
383,383,2019-11-26,13:15:00,2,01:00,testy alergiczne,279
384,384,2019-11-26,11:45:00,3,00:15,konsultacja chirurgiczna,680
385,385,2019-11-26,13:30:00,3,01:00,zabieg chirurgii wewnętrznej,381
386,386,2019-11-26,15:30:00,3,00:30,zabieg chirurgiczny drobny,1000
387,387,2019-11-27,10:45:00,1,01:00,antykoncepcja,282
388,388,2019-11-27,08:00:00,2,00:30,EKG,246
389,389,2019-11-27,11:15:00,2,00:15,wydanie paszportu,673
390,390,2019-11-27,11:30:00,2,00:30,RTG,1000
391,391,2019-11-27,08:15:00,3,00:15,konsultacja chirurgiczna,980
392,392,2019-11-27,10:30:00,3,00:15,konsultacja chirurgiczna,542
