,id_zwierzęcia,id_właściciela,Imię,Data urodzenia,Data rejestracji,Gatunek,Rasa,Płeć
104,104,564,Bella,2019-09-11,2021-02-04,królik,lew miniaturka,K
105,105,758,Wega,2013-07-08,2020-05-05,pies,sznaucer,K
106,106,46,Shakira,2014-02-11,2020-05-30,kot,egzotyczny,K
107,107,675,Niki,2014-07-08,2020-04-01,pies,lhasa apso,K
108,108,915,Debra,2010-07-26,2020-11-26,pies,puli,K
109,109,153,Tara,2015-08-22,2020-02-24,pies,drever,K
110,110,143,Juka,2012-07-31,2020-08-16,kot,bobtail,K
111,111,64,Malina,2012-03-28,2020-06-04,pies,faraona,K
112,112,785,Szikszura,2015-09-29,2020-05-23,pies,skye,K
113,113,324,Nala,2019-09-27,2021-05-15,pies,łajka,K
114,114,147,HuanaIga,2014-10-23,2020-08-02,pies,gończy,K
115,115,898,Pepper,2016-10-06,2020-08-30,pies,cavalier,K
116,116,753,Aysha,2012-12-16,2021-04-17,pies,nagi,K
117,117,787,Abi,2010-11-07,2020-06-08,kot,bombajski,K
118,118,682,Fifka,2011-12-11,2020-07-13,kot,tiffanie,K
119,119,746,Titi,2012-05-19,2020-07-17,pies,welsh corgi,K
120,120,52,Ami,2012-05-12,2019-11-05,kot,sfinks,K
121,121,755,Candy,2016-08-15,2021-02-15,świnka morska,peruwianka,K
122,122,690,Czili,2014-06-18,2021-03-17,pies,bokser,K
123,123,869,Kosmo,2012-11-20,2020-10-19,pies,akita,K
124,124,827,Tessi,2014-05-27,2019-12-06,pies,bloodhound,K
125,125,121,Berta,2017-04-27,2020-02-09,królik,lew miniaturka,K
126,126,535,Ricco,2016-05-14,2021-03-15,kot,bengalski,K
127,127,511,Chila,2011-04-17,2020-03-15,pies,szpic,K
128,128,264,Radzia,2013-06-29,2020-06-11,pies,buhund,K
129,129,386,Maya,2016-06-27,2020-07-25,królik,mini rex,K
130,130,484,Kali,2012-05-19,2020-03-31,pies,bloodhound,K
131,131,556,Pepper,2011-11-13,2020-05-20,pies,husky,K
132,132,850,Tola,2020-10-04,2021-01-26,pies,husky,K
133,133,946,Fifa,2020-05-30,2020-11-25,pies,hollandse,K
134,134,221,Fifcia,2011-09-14,2020-11-03,pies,bearded collie,K
135,135,780,Prima,2020-04-10,2020-06-20,kot,perski,K
136,136,772,Kornelia,2020-11-27,2021-01-27,koszatniczka,,K
137,137,100,Glasi,2014-03-21,2021-05-21,kot,ragdoll,K
138,138,734,Bigi,2019-07-30,2020-10-17,pies,łajka,K
139,139,171,Cekinka,2016-02-29,2020-02-17,kot,abisyński,K
140,140,819,Leksi,2013-10-08,2020-10-16,pies,golden retriever,K
141,141,550,Widi,2012-06-22,2020-01-31,kot,ragdoll,K
142,142,1,Kira,2015-05-15,2021-03-17,kot,kartuski,K
143,143,896,Ruda,2016-04-25,2021-03-10,pies,berneński,K
144,144,890,Lexi,2017-12-01,2020-10-25,pies,buldog angielski,K
145,145,773,Fetka,2018-06-30,2021-04-30,pies,hot,K
146,146,97,Bonnie,2015-08-06,2021-05-09,pies,hollandse,K
147,147,150,Frotka,2017-09-08,2021-04-29,pies,owczarek,K
148,148,763,Kes,2013-08-04,2021-04-29,pies,dog,K
149,149,215,Leia,2014-03-17,2020-06-29,pies,sznaucer,K
150,150,492,Cekinka,2011-02-08,2021-03-11,kot,egzotyczny,K
151,151,981,Wika,2014-02-18,2021-04-03,pies,kelpie,K
152,152,829,Hira,2010-12-29,2021-02-01,pies,mops,K
153,153,416,Misia,2020-02-03,2021-04-15,pies,husky,K
154,154,598,Mufinka,2012-02-23,2021-04-19,pies,welsh corgi,K
155,155,88,Misia,2018-08-31,2021-04-11,pies,ogar,K
156,156,42,Rosita,2011-01-30,2020-01-23,pies,basenji,K
157,157,882,Klara,2014-02-04,2020-08-21,pies,akita,K
158,158,742,Diva,2011-05-05,2021-03-14,pies,bearded collie,K
159,159,796,Mona,2014-08-11,2020-03-29,pies,bullmastif,K
160,160,757,Nutka,2019-05-30,2021-04-07,królik,lew miniaturka,K
161,161,990,Miałkusia,2017-05-04,2021-03-25,pies,foksterier,K
162,162,715,CzujkaDabi,2018-12-29,2021-01-19,pies,bokser,K
163,163,292,Rudi,2016-02-12,2021-04-19,kot,hawański,K
164,164,306,Kosmo,2016-05-07,2020-10-26,świnka morska,peruwianka,K
165,165,718,Fifidorea,2017-10-22,2020-01-10,królik,lew miniaturka,K
166,166,180,Fifidorea,2019-08-14,2020-11-18,kot,abisyński,K
167,167,425,Gandzia,2012-06-27,2020-10-13,pies,cavalier,K
168,168,519,Hetka,2016-04-16,2020-03-22,świnka morska,gładkowłosa,K
169,169,350,Florka,2011-12-08,2019-11-29,pies,maltańczyk,K
170,170,463,Miśka,2016-02-29,2020-08-24,świnka morska,peruwianka,K
171,171,489,Morena,2016-05-06,2020-06-20,pies,pondeco,K
172,172,783,Mikunia,2010-08-17,2021-04-18,pies,szpic,K
173,173,440,Ajsza,2018-02-12,2020-09-08,jeż hodowlany,,K
174,174,321,Rudzisława,2013-02-10,2020-11-11,pies,pudel,K
175,175,68,Neira,2019-09-18,2021-03-19,kot,tiffanie,K
176,176,860,Bakhitka,2012-09-03,2020-03-26,pies,beagle,K
177,177,949,Lora,2020-09-05,2020-09-30,pies,dog,K
178,178,155,Tara,2018-07-24,2020-03-12,pies,cavalier,K
179,179,683,Bletka,2008-10-13,2019-10-14,kot,gagamuffin,K
180,180,5,Nika,2016-06-03,2021-05-20,pies,mastif,K
181,181,174,Mija,2012-03-26,2020-06-16,kot,bombajski,K
182,182,337,Atena,2015-02-26,2020-09-12,ptak,papuga,K
183,183,931,Fiśka,2015-10-08,2021-03-23,pies,gończy,K
184,184,704,Awa,2016-10-22,2020-10-11,pies,jamnik,K
185,185,361,Greta,2018-06-14,2020-12-12,pies,buldog francuski,K
186,186,547,Gucia,2013-09-04,2019-11-19,kot,bobtail,K
187,187,449,Luisa,2015-03-30,2019-11-28,szynszyla,,K
188,188,296,CzujkaDabi,2012-06-29,2019-12-21,pies,hokkaido,K
189,189,98,Mura,2012-04-16,2021-02-06,pies,shih tzu,K
190,190,928,Niunia,2014-12-11,2020-07-02,pies,golden retriever,K
191,191,198,Sonia,2011-11-12,2021-04-06,pies,whippet,K
192,192,659,Płoszka,2016-03-30,2020-01-23,pies,maltańczyk,K
193,193,166,Tamara,2012-11-16,2019-10-19,kot,doński,K
194,194,992,Raya,2014-02-19,2019-12-21,pies,nagi,K
195,195,149,Kovu,2020-08-11,2020-10-25,królik,baranek miniaturka,K
196,196,875,Marysia,2016-06-25,2020-11-25,królik,mini rex,K
197,197,310,Sara,2015-12-20,2020-07-05,kot,bengalski,K
198,198,629,Bletka,2018-12-18,2021-02-09,pies,sznaucer,K
199,199,369,Wiera,2019-08-24,2020-04-18,pies,shar pei,K
200,200,13,Tessie,2013-10-10,2020-10-14,ptak,nimfa,K
201,201,863,Polka,2020-03-28,2020-11-01,pies,bernardyn,K
202,202,725,Tami,2014-10-27,2019-12-06,pies,golden retriever,K
203,203,379,Chili,2013-06-20,2020-09-29,pies,golden retriever,K
204,204,583,Dany,2012-03-04,2021-03-31,pies,mops,K
205,205,407,Selena,2019-08-04,2020-01-22,szczur domowy,,K
206,206,677,Dolly,2012-06-21,2020-04-15,pies,grzywacz chiński,K
207,207,964,Mikunia,2012-12-13,2021-03-06,kot,europejski,K
208,208,132,Deasy,2016-08-20,2021-01-05,świnka morska,abisyńska,K
209,209,837,Bajra,2011-06-11,2020-07-31,kot,doński,K
210,210,148,Appa,2017-06-02,2021-04-24,pies,sznaucer,K
211,211,604,Cassie,2012-03-03,2021-02-11,kot,balijski,K
212,212,475,Tamara,2014-06-02,2020-03-01,pies,sznaucer,K
213,213,965,Nuka,2015-12-04,2021-01-07,koszatniczka,,K
214,214,517,Ajra,2014-07-11,2020-02-20,pies,akita,K
215,215,311,Dragonka,2011-10-08,2020-07-22,kot,abisyński,K
216,216,473,Saszka,2013-10-08,2020-09-03,kot,bombajski,K
217,217,232,Stefek,2014-02-08,2020-04-05,pies,foksterier,K
218,218,895,Auriculaire,2014-04-14,2020-08-06,pies,sznaucer,K
219,219,278,Rufuska,2010-03-22,2020-06-22,pies,basenji,K
220,220,848,Simba,2010-03-17,2020-08-09,kot,maine coon,K
221,221,106,Nelly,2020-04-24,2021-04-02,mysz domowa,,K
222,222,234,Lenka,2016-08-16,2020-12-01,ptak,nimfa,K
223,223,807,Liya,2010-10-19,2021-03-01,kot,syjamski,K
224,224,747,Pepper,2012-03-15,2021-03-11,pies,foksterier,K
225,225,328,Bletka,2017-05-12,2020-06-21,kot,dachowiec,K
226,226,59,Sally,2013-04-07,2020-09-30,pies,bokser,K
227,227,549,Fryzia,2020-11-12,2021-05-18,pies,sznaucer,K
228,228,412,Santa,2011-09-24,2020-03-21,kot,bobtail,K
229,229,433,Hiro,2013-09-07,2020-04-21,kot,syberyjski,K
230,230,697,Jessie,2019-09-15,2020-10-23,pies,kelpie,K
231,231,672,Madlen,2013-11-25,2020-08-11,pies,pondeco,K
232,232,765,Aza,2012-11-17,2021-05-08,pies,mops,K
233,233,638,Lejdi,2016-01-11,2020-08-11,pies,drever,K
234,234,134,Asia,2020-05-15,2020-07-07,królik,teddy,K
235,235,77,Klara,2013-01-07,2020-11-02,pies,shih tzu,K
236,236,552,Bandi,2012-01-18,2020-09-19,kot,dachowiec,K
237,237,979,Suzie,2013-02-03,2019-11-01,pies,hokkaido,K
238,238,534,Rosa,2011-04-03,2020-02-14,pies,pudel,K
239,239,523,Siri,2016-12-07,2020-10-18,kot,egzotyczny,K
240,240,209,Bajra,2014-02-24,2021-05-28,pies,sznaucer,K
241,241,907,Mimi,2016-11-20,2021-03-15,królik,baranek miniaturka,K
242,242,775,Poja,2017-06-07,2020-07-17,królik,baranek miniaturka,K
243,243,426,Psotka,2018-02-28,2020-07-14,pies,shiba inu,K
244,244,146,Rufinka,2013-11-01,2020-05-18,pies,pudel,K
245,245,315,Wika,2010-07-05,2020-12-04,kot,amerykański,K
246,246,453,Lejdi,2017-01-18,2019-10-31,królik,teddy,K
247,247,580,Neira,2016-06-20,2020-08-31,królik,lew miniaturka,K
248,248,50,Olivia,2015-12-02,2020-01-29,pies,buldog angielski,K
249,249,892,Dżasti,2015-06-25,2020-01-01,pies,lablador,K
250,250,308,Ora,2019-03-31,2020-02-03,pies,alaskan,K
251,251,984,Lea,2011-07-10,2019-11-06,pies,basenji,K
252,252,61,Brownie,2014-08-29,2021-05-29,pies,seter,K
253,253,561,Bujka,2018-12-18,2020-11-05,pies,shih tzu,K
254,254,273,Stefcia,2013-09-20,2021-03-12,pies,alaskan,K
255,255,932,Beza,2016-06-07,2019-10-28,świnka morska,abisyńska,K
256,256,743,Megi,2018-03-02,2020-08-24,pies,alaskan,K
257,257,72,Peppa,2013-05-20,2019-11-07,kot,europejski,K
258,258,353,Elwirka,2016-03-15,2020-06-07,pies,rottweiler,K
259,259,728,Scarlet,2013-10-17,2019-10-23,pies,akita,K
260,260,14,Juka,2016-05-22,2019-11-03,pies,chow chow,K
261,261,272,Hetka,2019-07-14,2019-11-22,szczur domowy,,K
262,262,239,Alaska,2012-06-30,2020-04-01,pies,alaskan,K
263,263,574,Kluska,2015-03-30,2020-10-08,szynszyla,,K
264,264,93,Bengie,2011-10-05,2020-11-02,pies,puli,K
265,265,988,Birma,2019-12-19,2021-04-27,świnka morska,abisyńska,K
266,266,163,Marilyn,2010-12-30,2020-12-08,pies,mops,K
267,267,417,Bianka,2019-08-27,2020-04-28,kot,burmański,K
268,268,115,Senshi,2021-03-25,2021-04-28,pies,hokkaido,K
269,269,329,Duma,2013-01-21,2021-05-09,pies,hokkaido,K
270,270,835,Bunia,2015-01-22,2020-11-20,królik,holenderski,K
271,271,160,Luka,2013-09-24,2020-10-02,pies,wyżeł,K
272,272,351,Marcysia,2011-05-13,2020-08-09,kot,amerykański,K
273,273,80,Lea,2016-07-21,2020-07-09,koszatniczka,,K
274,274,658,Gapcia,2019-01-27,2020-03-04,ptak,papuga,K
275,275,47,Dafcia,2013-02-22,2020-05-18,pies,samoyed,K
276,276,383,Moli,2015-03-15,2020-06-03,pies,seter,K
277,277,661,Dakota,2011-11-24,2019-10-14,kot,ragdoll,K
278,278,404,Marcysia,2017-05-21,2020-10-30,pies,chart,K
279,279,464,Ciri,2016-07-25,2019-11-21,świnka morska,peruwianka,K
280,280,751,Scarlet,2013-09-06,2020-04-25,pies,komondor,K
281,281,901,Beybe,2018-03-10,2020-03-09,pies,drever,K
282,282,551,Bessi,2019-03-02,2019-10-30,pies,yorkshire terrier,K
283,283,806,Mimi,2012-06-07,2020-11-28,pies,buhund,K
284,284,377,Heidi,2012-08-12,2020-06-24,pies,charcik,K
285,285,263,Wika,2019-01-30,2021-03-16,kot,abisyński,K
286,286,460,Bryśka,2011-12-18,2021-05-14,pies,shih tzu,K
287,287,585,Basia,2019-07-20,2021-01-16,pies,basenji,K
288,288,266,Neya,2012-12-19,2020-06-14,pies,coker spaniel,K
289,289,676,Ruda,2010-09-11,2021-04-02,pies,shih tzu,K
290,290,515,Bajra,2010-12-04,2020-02-28,pies,jamnik,K
291,291,177,Bandi,2011-06-23,2020-08-25,pies,chow chow,K
292,292,208,Majla,2010-12-27,2020-09-06,pies,wilczak,K
293,293,305,Fifcia,2018-05-03,2020-01-30,pies,chow chow,K
294,294,269,Rosa,2011-09-06,2020-03-17,pies,coker spaniel,K
295,295,421,Asia,2011-10-14,2021-04-06,kot,bobtail,K
296,296,559,Czili,2013-12-06,2020-04-19,pies,pudel,K
297,297,714,Niunia,2017-03-17,2020-10-12,pies,hollandse,K
298,298,788,Perełka,2020-02-28,2020-05-03,kot,cornish,K
299,299,244,Kuga,2018-12-01,2021-05-18,pies,lhasa apso,K
300,300,921,Kovu,2015-10-05,2021-04-20,królik,mini rex,K
301,301,871,Tasia,2014-03-06,2020-02-10,pies,lablador,K
302,302,158,Plamka,2013-11-16,2020-11-21,pies,akita,K
303,303,339,Polly,2012-10-15,2020-10-18,pies,buhund,K
304,304,90,Chica,2014-08-15,2019-10-05,pies,shar pei,K
305,305,441,Tara,2017-06-28,2020-03-19,pies,pinczer,K
306,306,27,Mrunia,2014-06-30,2019-10-20,pies,dog,K
307,307,636,Gracja,2011-03-06,2020-01-24,pies,hawańczyk,K
308,308,792,Borya,2012-01-18,2020-10-06,pies,maltańczyk,K
309,309,909,Bajra,2016-08-10,2020-01-14,pies,berneński,K
310,310,322,Aura,2012-11-08,2021-05-20,pies,charcik,K
311,311,643,Ashe,2014-02-20,2020-11-13,kot,kartuski,K
312,312,213,Pretty,2020-10-23,2021-05-24,królik,holenderski,K
313,313,74,Nasta,2017-01-02,2021-02-22,kot,cornish,K
314,314,111,Dżejlo,2018-11-03,2019-11-13,myszoskoczek,,K
315,315,345,Minka,2013-01-16,2021-04-04,pies,skye,K
316,316,508,Gracja,2014-12-14,2020-10-19,pies,alaskan,K
317,317,75,Poli,2016-04-26,2021-03-03,ptak,papużka falista,K
318,318,357,Debbie,2016-10-18,2021-02-12,kot,doński,K
319,319,472,Szasta,2020-05-26,2021-06-03,ptak,papużka falista,K
320,320,400,Tusia,2013-05-20,2020-07-11,pies,akita,K
321,321,107,Rozi,2014-04-08,2020-09-19,pies,owczarek,K
322,322,660,Betty,2020-06-20,2021-05-19,pies,buldog angielski,K
323,323,615,Pepper,2010-04-10,2021-03-11,pies,yorkshire terrier,K
324,324,652,Felicjana,2017-01-23,2020-07-13,kot,hawański,K
325,325,24,Remy,2010-09-13,2020-08-18,kot,syjamski,K
326,326,304,Tequila,2018-11-01,2020-11-21,kot,bombajski,K
327,327,194,Aza,2010-11-15,2021-05-20,pies,kelpie,K
328,328,204,Fifidorea,2013-09-22,2019-10-18,pies,hokkaido,K
329,329,182,Księżniczka,2013-06-16,2019-11-29,pies,bokser,K
330,330,784,Fiona,2019-06-23,2020-11-10,kot,syberyjski,K
331,331,888,Pojka,2017-11-26,2020-09-10,pies,chow chow,K
332,332,945,Dżadża,2013-03-15,2020-04-20,pies,owczarek,K
333,333,101,Marti,2012-06-04,2020-07-22,pies,basenji,K
334,334,764,Beybe,2013-06-20,2020-12-18,pies,coker spaniel,K
335,335,657,Czika,2018-10-11,2019-12-21,pies,drever,K
336,336,936,Mijka,2014-04-02,2020-01-24,pies,rottweiler,K
337,337,699,Czesia,2016-03-17,2021-03-22,ptak,słowik chiński,K
338,338,113,TysiaWanda,2015-08-16,2020-10-13,pies,hollandse,K
339,339,778,Plamcia,2018-06-09,2020-01-28,pies,drever,K
340,340,794,Lucy,2011-11-05,2020-02-23,pies,jamnik,K
341,341,847,Black,2021-05-02,2021-06-02,pies,komondor,K
342,342,391,Loca,2019-02-18,2020-04-18,królik,teddy,K
343,343,971,Pola,2012-04-26,2021-03-27,kot,balijski,K
344,344,680,Alfa,2018-05-08,2020-07-29,pies,elkhund,K
345,345,267,Ama,2013-10-30,2019-12-19,kot,kartuski,K
346,346,640,Liska,2010-01-26,2021-03-17,pies,chiuahua,K
347,347,717,Julia,2011-04-10,2020-01-12,pies,whippet,K
348,348,201,Kosmo,2019-03-12,2021-01-25,myszoskoczek,,K
349,349,6,Brooklyn,2018-06-10,2021-01-14,pies,rottweiler,K
350,350,666,Nala,2011-10-02,2020-07-22,pies,husky,K
351,351,628,Szanti,2017-10-20,2020-02-06,królik,baranek miniaturka,K
352,352,435,Szara,2015-12-10,2021-03-06,kot,bobtail,K
353,353,439,Kiara,2012-03-23,2019-10-27,pies,spaniel,K
354,354,891,Bonnie,2020-10-22,2021-04-01,kot,egzotyczny,K
355,355,601,Kenay,2020-07-18,2020-11-11,pies,łajka,K
356,356,732,Migotka,2015-12-21,2021-02-21,świnka morska,peruwianka,K
357,357,844,Strzała,2019-04-10,2019-10-25,kot,maine coon,K
358,358,840,Majla,2012-02-17,2021-01-10,kot,gagamuffin,K
359,359,767,Nesca,2014-07-17,2021-01-29,pies,hollandse,K
360,360,540,Krówka,2012-11-30,2021-02-17,pies,wyżeł,K
361,361,482,Krówka,2019-02-24,2020-08-08,pies,hollandse,K
362,362,902,Ida,2017-11-15,2021-05-22,pies,bullmastif,K
363,363,702,Masha,2019-05-22,2021-04-09,pies,dalmatyńczyk,K
364,364,219,Mrużka,2013-05-05,2020-04-24,pies,owczarek,K
365,365,69,Mycha,2017-01-27,2020-11-23,świnka morska,peruwianka,K
366,366,750,Polly,2017-09-04,2020-02-23,pies,coker spaniel,K
367,367,270,Dragonka,2014-10-09,2020-01-19,pies,bloodhound,K
368,368,442,Nila,2020-01-04,2020-10-20,pies,berneński,K
369,369,516,Loca,2010-08-31,2020-08-10,pies,wilczak,K
370,370,38,Krysia,2010-08-10,2020-10-23,kot,rosyjski,K
371,371,866,Bordi,2015-10-19,2019-11-26,pies,chart,K
372,372,818,Kisztunia,2016-05-01,2021-05-11,pies,hollandse,K
373,373,252,Lunia,2010-09-16,2020-04-04,kot,syjamski,K
374,374,474,Lola,2012-04-19,2020-10-07,kot,doński,K
375,375,81,Tejena,2012-03-10,2019-10-17,kot,cornish,K
376,376,760,Peppa,2019-09-17,2021-04-15,pies,owczarek,K
377,377,220,FisiaGaba,2010-05-04,2020-03-12,pies,shih tzu,K
378,378,62,Lizi,2018-09-28,2020-07-14,myszoskoczek,,K
379,379,4,Szila,2011-12-12,2021-04-21,kot,amerykański,K
380,380,826,Hiro,2015-09-30,2020-07-17,ptak,słowik chiński,K
381,381,972,Ksara,2014-05-12,2019-10-12,pies,doberman,K
382,382,392,Duma,2012-02-05,2019-12-15,kot,egzotyczny,K
383,383,495,Nuka,2012-01-11,2020-01-10,kot,balijski,K
384,384,744,Abi,2017-08-01,2019-12-30,pies,grzywacz chiński,K
385,385,793,Luna,2017-12-19,2020-01-13,ptak,kanarek,K
386,386,929,Keri,2020-05-06,2021-02-10,jeż hodowlany,,K
387,387,335,Kejla,2021-04-24,2021-05-26,pies,komondor,K
388,388,54,Tamara,2013-01-09,2020-04-17,pies,pondeco,K
389,389,911,Kimiko,2017-11-12,2020-10-29,pies,rottweiler,K
390,390,670,Loca,2014-12-25,2021-06-04,pies,bloodhound,K
391,391,542,Czili,2012-07-17,2020-12-27,kot,balijski,K
392,392,228,Płoszka,2017-11-30,2020-10-06,kot,abisyński,K
393,393,897,Ruda,2012-03-13,2020-12-07,pies,foksterier,K
394,394,976,Ange,2016-06-08,2020-01-08,szynszyla,,K
